Unnamed: 0,name,celex_code,doc_code,title,publication_date,doc_type,doc_type_code,author,languages,quicksearch_url,classification,date_effect,date_deadline,date_sig
0,PRIIPS_1,32014R1286,1286/2014,Regulation (EU) No 1286/2014 of the European Parliament and of the Council of 26 November 2014 on key information documents for packaged retail and insurance-based investment products (PRIIPs) (Text with EEA relevance),2014-11-26,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014R1286&lang=en&type=quick&qid=1691483625392,"['provision of documents', 'consumer information', 'regulation of investments', 'insurance', 'document', 'disclosure of information']",2014-12-29,2019-12-31,
1,PRIIPS_2,32017R0653,2017/653,"Commission Delegated Regulation (EU) 2017/653 of 8 March 2017 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council on key information documents for packaged retail and insurance-based investment products (PRIIPs) by laying down regulatory technical standards with regard to the presentation, content, review and revision of key information documents and the conditions for fulfilling the requirement to provide such documents (Text with EEA relevance. )",2017-03-08,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32017R0653&lang=en&type=quick&qid=1691483656182,"['consumer information', 'regulation of investments', 'disclosure of information', 'financial services']",2017-05-02,,
2,PRIIPS_3,32021R2268,2021/2268,"Commission Delegated Regulation (EU) 2021/2268 of 6 September 2021 amending the regulatory technical standards laid down in Commission Delegated Regulation (EU) 2017/653 as regards the underpinning methodology and presentation of performance scenarios, the presentation of costs and the methodology for the calculation of summary cost indicators, the presentation and content of information on past performance and the presentation of costs by packaged retail and insurance-based investment products (PRIIPs) offering a range of options for investment and alignment of the transitional arrangement for PRIIP manufacturers offering units of funds referred to in Article 32 of Regulation (EU) No 1286/2014 of the European Parliament and of the Council as underlying investment options with the prolonged transitional arrangement laid down in that Article (Text with EEA relevance)",2021-09-06,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32021R2268&lang=en&type=quick&qid=1691483704702,"['consumer information', 'regulation of investments', 'insurance', 'investment company', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services']",2022-01-01,,
3,UCITS,32009L0065,2009/65,"Directive 2009/65/EC of the European Parliament and of the Council of 13 July 2009 on the coordination of laws, regulations and administrative provisions relating to undertakings for collective investment in transferable securities (UCITS) (recast) (Text with EEA relevance)",2009-07-13,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32009L0065&lang=en&type=quick&qid=1691483749987,"['merger', 'business management', 'financial management', 'holding company', 'approximation of laws', 'investment company', 'securities', 'right of establishment', 'financial legislation', 'market access']",2009-12-07,,
4,SFDR_1,32019R2088,2019/2088,Regulation (EU) 2019/2088 of the European Parliament and of the Council of 27 November 2019 on sustainability‐related disclosures in the financial services sector (Text with EEA relevance),2019-11-27,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32019R2088&lang=en&type=quick&qid=1691483797438,"['consumer information', 'investment', 'financial occupation', 'insurance', 'investment company', 'disclosure of information', 'financial legislation', 'financial services', 'risk management', 'financial risk']",2019-12-29,2020-12-30,2019-11-27
5,SFDR_2,32022R1288,2022/1288,"Commission Delegated Regulation (EU) 2022/1288 of 6 April 2022 supplementing Regulation (EU) 2019/2088 of the European Parliament and of the Council with regard to regulatory technical standards specifying the details of the content and presentation of the information in relation to the principle of ‘do no significant harm’, specifying the content, methodologies and presentation of information in relation to sustainability indicators and adverse sustainability impacts, and the content and presentation of the information in relation to the promotion of environmental or social characteristics and sustainable investment objectives in pre-contractual documents, on websites and in periodic reports (Text with EEA relevance)",2022-04-06,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32022R1288&lang=en&type=quick&qid=1691483817580,"['consumer information', 'financial occupation', 'insurance', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services', 'risk management', 'sustainable finance', 'financial risk']",2022-08-14,,
6,SFDR_3,32023R0363,2023/363,Commission Delegated Regulation (EU) 2023/363 of 31 October 2022 amending and correcting the regulatory technical standards laid down in Delegated Regulation (EU) 2022/1288 as regards the content and presentation of information in relation to disclosures in pre-contractual documents and periodic reports for financial products investing in environmentally sustainable economic activities (Text with EEA relevance),2022-10-31,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32023R0363&lang=en&type=quick&qid=1691483865817,"['consumer information', 'financial occupation', 'insurance', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services', 'risk management', 'sustainable finance', 'financial risk']",2023-02-20,,
7,Taxonomy,32020R0852,2020/852,"Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (Text with EEA relevance)",2020-06-18,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32020R0852&lang=en&type=quick&qid=1691483912739,"['investment', 'financial market', 'environmental protection', 'climate change policy', 'sustainable development', 'economic instrument for the environment', 'EU environmental policy', 'economic activity', 'green economy']",2020-07-12,2020-12-31,2020-06-18
8,NFRD,32014L0095,2014/95,Directive 2014/95/EU of the European Parliament and of the Council of 22 October 2014 amending Directive 2013/34/EU as regards disclosure of non-financial and diversity information by certain large undertakings and groups  Text with EEA relevance,2014-10-22,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014L0095&lang=en&type=quick&qid=1691483928300,"['business management', 'large business', 'activity report', 'impact study', 'sustainable development', 'corporate social responsibility']",2014-12-05,2018-12-06,
9,CSRD,32022L2464,2022/2464,"Directive (EU) 2022/2464 of the European Parliament and of the Council of 14 December 2022 amending Regulation (EU) No 537/2014, Directive 2004/109/EC, Directive 2006/43/EC and Directive 2013/34/EU, as regards corporate sustainability reporting (Text with EEA relevance)",2022-12-14,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32022L2464&lang=en&type=quick&qid=1691483958228,"['large business', 'trade information', 'standard', 'small and medium-sized enterprises', 'activity report', 'environmental impact', 'disclosure of information', 'corporate social responsibility', 'environmental auditing']",2023-01-05,2028-12-31,2022-12-14
10,MIFID,32014L0065,2014/65,Directive 2014/65/EU of the European Parliament and of the Council of 15 May 2014 on markets in financial instruments and amending Directive 2002/92/EC and Directive 2011/61/EU (recast)  Text with EEA relevance,2014-05-15,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014L0065&lang=en&type=quick&qid=1691483973482,"['financial instrument', 'management audit', 'financial control', 'provision of services', 'investment company', 'financial legislation']",2014-07-02,2019-01-01,
11,MIFID_REG,32014R0600,600/2014,Regulation (EU) No 600/2014 of the European Parliament and of the Council of 15 May 2014 on markets in financial instruments and amending Regulation (EU) No 648/2012  Text with EEA relevance,2014-05-15,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014R0600&lang=en&type=quick&qid=1691484005766,"['financial instrument', 'administrative check', 'financial control', 'credit institution', 'investment company', 'market supervision', 'financial transaction', 'financial legislation']",2014-07-02,2019-03-03,
12,AIFMD,32011L0061,2011/61,Directive 2011/61/EU of the European Parliament and of the Council of 8 June 2011 on Alternative Investment Fund Managers and amending Directives 2003/41/EC and 2009/65/EC and Regulations (EC) No 1060/2009 and (EU) No 1095/2010  Text with EEA relevance,2011-06-08,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32011L0061&lang=en&type=quick&qid=1691484038696,"['freedom to provide services', 'financial market', 'financial control', 'investment company', 'market supervision', 'right of establishment', 'intergovernmental cooperation (EU)', 'exchange of information']",2011-07-21,,
13,AIMFD_2,32013R0231,231/2013,"Commission Delegated Regulation (EU) No 231/2013 of 19 December 2012 supplementing Directive 2011/61/EU of the European Parliament and of the Council with regard to exemptions, general operating conditions, depositaries, leverage, transparency and supervision  Text with EEA relevance",2012-12-19,Delegated regulation,R,European Commission,"BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32013R0231&lang=en&type=quick&qid=1691484087125,"['consumer information', 'financial market', 'financial control', 'investment company', 'market supervision', 'financial legislation', 'indebtedness']",2013-04-11,,
14,no name,32019R1156,2019/1156,"Regulation (EU) 2019/1156 of the European Parliament and of the Council of 20 June 2019 on facilitating cross-border distribution of collective investment undertakings and amending Regulations (EU) No 345/2013, (EU) No 346/2013 and (EU) No 1286/2014 (Text with EEA relevance.)",2019-06-20,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F1156&lang=en&type=quick&qid=1691484244513,"['marketing', 'investment transaction', 'capital market', 'financial legislation', 'UCITS fund', 'European Securities and Markets Authority', 'alternative investment']",2019-08-01,2020-02-02,2019-06-20
15,no name,32021R2259,2021/2259,"Regulation (EU) 2021/2259 of the European Parliament and of the Council of 15 December 2021 amending Regulation (EU) No 1286/2014 as regards the extension of the transitional arrangement for management companies, investment companies and persons advising on, or selling, units of undertakings for collective investment in transferable securities (UCITS) and non-UCITS (Text with EEA relevance)",2021-12-15,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2021%2F2259&lang=en&type=quick&qid=1691484260315,"['consumer information', 'financial market', 'regulation of investments', 'insurance', 'investment company', 'financial legislation', 'financial services']",2021-12-21,,2021-12-15
16,no name,32016R1904,2016/1904,Commission Delegated Regulation (EU) 2016/1904 of 14 July 2016 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council with regard to product intervention (Text with EEA relevance),2016-07-14,Delegated regulation,R,European Commission,"BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2016%2F1904&lang=en&type=quick&qid=1691484289955,"['provision of documents', 'consumer information', 'financial market', 'financial control', 'regulation of investments', 'insurance', 'document', 'disclosure of information']",2016-11-18,,
17,no name,32019R1866,2019/1866,Commission Delegated Regulation (EU) 2019/1866 of 3 July 2019 amending Delegated Regulation (EU) 2017/653 to align the transitional arrangement for PRIIP manufacturers offering units of funds referred to in Article 32 of Regulation (EU) No 1286/2014 of the European Parliament and of the Council as underlying investment options with the prolonged exemption period under that Article (Text with EEA relevance),2019-07-03,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2019%2F1866&lang=en&type=quick&qid=1691484334751,"['consumer information', 'regulation of investments', 'insurance', 'retail trade', 'disclosure of information', 'financial services']",2019-11-28,,
18,no name,32016R2340,2016/2340,Regulation (EU) 2016/2340 of the European Parliament and of the Council of 14 December 2016 amending Regulation (EU) No 1286/2014 on key information documents for packaged retail and insurance-based investment products as regards the date of its application (Text with EEA relevance ),2016-12-14,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2016%2F2340&lang=en&type=quick&qid=1691484379543,"['consumer information', 'regulation of investments', 'insurance', 'retail trade', 'technical standard', 'financial services']",2016-12-24,,2016-12-14
19,no name,32022R1666,2022/1666,"Commission Delegated Regulation (EU) 2022/1666 of 13 June 2022 correcting the Danish language version of Annex II to Delegated Regulation (EU) 2017/653 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council on key information documents for packaged retail and insurance-based investment products (PRIIPs) by laying down regulatory technical standards with regard to the presentation, content, review and revision of key information documents and the conditions for fulfilling the requirement to provide such documents (Text with EEA relevance)",2022-06-13,Delegated regulation,R,"European Commission, Directorate-General for Translation","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2022%2F1666&lang=en&type=quick&qid=1691484409321,"['consumer information', 'regulation of investments', 'disclosure of information', 'financial services']",2022-10-19,,
20,no name,32018R0977,2018/977,"Commission Delegated Regulation (EU) 2018/977 of 4 April 2018 correcting the Bulgarian language version of Delegated Regulation (EU) 2017/653 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council on key information documents for packaged retail and insurance-based investment products (PRIIPs) by laying down regulatory technical standards with regard to the presentation, content, review and revision of key information documents and the conditions for fulfilling the requirement to provide such documents (Text with EEA relevance.)",2018-04-04,Delegated regulation,R,"European Commission, Directorate-General for Translation","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=2018%2F977&lang=en&type=quick&qid=1691484451630,"['consumer information', 'regulation of investments', 'disclosure of information', 'financial services']",2018-08-01,,
