source,target,relation
2019/1156,345/2013,amending
2019/1156,346/2013,amending
2019/1156,1286/2014,amending
2021/2259,1286/2014,amending
2017/653,1286/2014,supplementing
2016/1904,1286/2014,supplementing
2021/2268,2017/653,amending
2021/2268,1286/2014,amending
2019/1866,2017/653,amending
2019/1866,1286/2014,amending
2016/2340,1286/2014,amending
2022/1666,1286/2014,supplementing
2018/977,1286/2014,supplementing
2017/653,1286/2014,supplementing
2022/1666,1286/2014,supplementing
2022/975,2017/653,amending
2022/975,2021/2268,amending
2021/2268,2017/653,amending
2021/2268,1286/2014,amending
2019/1866,2017/653,amending
2019/1866,1286/2014,amending
2018/977,1286/2014,supplementing
2021/2268,2017/653,amending
2021/2268,1286/2014,amending
2022/975,2017/653,amending
2022/975,2021/2268,amending
2017/2402,2009/65,amending
2017/2402,2009/138,amending
2017/2402,2011/61,amending
2017/2402,1060/2009,amending
2017/2402,648/2012,amending
2019/2034,2002/87,amending
2019/2034,2009/65,amending
2019/2034,2011/61,amending
2019/2034,2013/36,amending
2019/2034,2014/59,amending
2019/2034,2014/65,amending
2011/61,2003/41,amending
2011/61,2009/65,amending
2011/61,1060/2009,amending
2011/61,1095/2010,amending
2019/2162,2009/65,amending
2019/2162,2014/59,amending
2022/2556,2009/65,amending
2022/2556,2009/138,amending
2022/2556,2011/61,amending
2022/2556,2013/36,amending
2022/2556,2014/59,amending
2022/2556,2014/65,amending
2022/2556,2015/2366,amending
2022/2556,2016/2341,amending
2016/438,2009/65,supplementing
2014/91,2009/65,amending
2019/1160,2009/65,amending
2019/1160,2011/61,amending
2013/14,2003/41,amending
2013/14,2009/65,amending
2013/14,2011/61,amending
2021/2261,2009/65,amending
2020/852,2019/2088,amending
2022/1288,2019/2088,supplementing
2022/1288,2019/2088,supplementing
2023/363,2022/1288,amending
2023/363,2022/1288,amending
2020/852,2019/2088,amending
2021/2139,2020/852,supplementing
2021/2178,2020/852,supplementing
2021/2178,2013/34,supplementing
2014/95,2013/34,amending
2022/246,2017/39,amending
2019/2034,2002/87,amending
2019/2034,2009/65,amending
2019/2034,2011/61,amending
2019/2034,2013/36,amending
2019/2034,2014/59,amending
2019/2034,2014/65,amending
2022/858,600/2014,amending
2022/858,909/2014,amending
2022/858,2014/65,amending
909/2014,2014/65,amending
909/2014,236/2012,amending
2014/65,2002/92,amending
2014/65,2011/61,amending
2022/2556,2009/65,amending
2022/2556,2009/138,amending
2022/2556,2011/61,amending
2022/2556,2013/36,amending
2022/2556,2014/59,amending
