,name,celex_code,doc_code,title,publication_date,doc_type,doc_type_code,author,languages,quicksearch_url,classification,date_effect,date_deadline,date_sig
0,PRIIPS_1,32014R1286,1286/2014,Regulation (EU) No 1286/2014 of the European Parliament and of the Council of 26 November 2014 on key information documents for packaged retail and insurance-based investment products (PRIIPs) (Text with EEA relevance),26/11/2014,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014R1286&lang=en&type=quick&qid=1691483625392,"['provision of documents', 'consumer information', 'regulation of investments', 'insurance', 'document', 'disclosure of information']",'29/12/2014','31/12/2019','Not found'
1,PRIIPS_2,32017R0653,2017/653,"Commission Delegated Regulation (EU) 2017/653 of 8 March 2017 supplementing Regulation (EU) No 1286/2014 of the European Parliament and of the Council on key information documents for packaged retail and insurance-based investment products (PRIIPs) by laying down regulatory technical standards with regard to the presentation, content, review and revision of key information documents and the conditions for fulfilling the requirement to provide such documents (Text with EEA relevance. )",08/03/2017,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32017R0653&lang=en&type=quick&qid=1691483656182,"['consumer information', 'regulation of investments', 'disclosure of information', 'financial services']",'02/05/2017','Not found','Not found'
2,PRIIPS_3,32021R2268,2021/2268,"Commission Delegated Regulation (EU) 2021/2268 of 6 September 2021 amending the regulatory technical standards laid down in Commission Delegated Regulation (EU) 2017/653 as regards the underpinning methodology and presentation of performance scenarios, the presentation of costs and the methodology for the calculation of summary cost indicators, the presentation and content of information on past performance and the presentation of costs by packaged retail and insurance-based investment products (PRIIPs) offering a range of options for investment and alignment of the transitional arrangement for PRIIP manufacturers offering units of funds referred to in Article 32 of Regulation (EU) No 1286/2014 of the European Parliament and of the Council as underlying investment options with the prolonged transitional arrangement laid down in that Article (Text with EEA relevance)",06/09/2021,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32021R2268&lang=en&type=quick&qid=1691483704702,"['consumer information', 'regulation of investments', 'insurance', 'investment company', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services']",'01/01/2022','Not found','Not found'
3,UCITS,32009L0065,2009/65,"Directive 2009/65/EC of the European Parliament and of the Council of 13 July 2009 on the coordination of laws, regulations and administrative provisions relating to undertakings for collective investment in transferable securities (UCITS) (recast) (Text with EEA relevance)",13/07/2009,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32009L0065&lang=en&type=quick&qid=1691483749987,"['merger', 'business management', 'financial management', 'holding company', 'approximation of laws', 'investment company', 'securities', 'right of establishment', 'financial legislation', 'market access']",'07/12/2009','Not found','Not found'
4,SFDR_1,32019R2088,2019/2088,Regulation (EU) 2019/2088 of the European Parliament and of the Council of 27 November 2019 on sustainability‐related disclosures in the financial services sector (Text with EEA relevance),27/11/2019,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32019R2088&lang=en&type=quick&qid=1691483797438,"['consumer information', 'investment', 'financial occupation', 'insurance', 'investment company', 'disclosure of information', 'financial legislation', 'financial services', 'risk management', 'financial risk']",'29/12/2019','30/12/2020','27/11/2019'
5,SFDR_2,32022R1288,2022/1288,"Commission Delegated Regulation (EU) 2022/1288 of 6 April 2022 supplementing Regulation (EU) 2019/2088 of the European Parliament and of the Council with regard to regulatory technical standards specifying the details of the content and presentation of the information in relation to the principle of ‘do no significant harm’, specifying the content, methodologies and presentation of information in relation to sustainability indicators and adverse sustainability impacts, and the content and presentation of the information in relation to the promotion of environmental or social characteristics and sustainable investment objectives in pre-contractual documents, on websites and in periodic reports (Text with EEA relevance)",06/04/2022,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32022R1288&lang=en&type=quick&qid=1691483817580,"['consumer information', 'financial occupation', 'insurance', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services', 'risk management', 'sustainable finance', 'financial risk']",'14/08/2022','Not found','Not found'
6,SFDR_3,32023R0363,2023/363,Commission Delegated Regulation (EU) 2023/363 of 31 October 2022 amending and correcting the regulatory technical standards laid down in Delegated Regulation (EU) 2022/1288 as regards the content and presentation of information in relation to disclosures in pre-contractual documents and periodic reports for financial products investing in environmentally sustainable economic activities (Text with EEA relevance),31/10/2022,Delegated regulation,R,"European Commission, Directorate-General for Financial Stability, Financial Services and Capital Markets Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32023R0363&lang=en&type=quick&qid=1691483865817,"['consumer information', 'financial occupation', 'insurance', 'technical standard', 'disclosure of information', 'financial legislation', 'financial services', 'risk management', 'sustainable finance', 'financial risk']",'20/02/2023','Not found','Not found'
7,Taxonomy,32020R0852,2020/852,"Regulation (EU) 2020/852 of the European Parliament and of the Council of 18 June 2020 on the establishment of a framework to facilitate sustainable investment, and amending Regulation (EU) 2019/2088 (Text with EEA relevance)",18/06/2020,Regulation,R,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32020R0852&lang=en&type=quick&qid=1691483912739,"['investment', 'financial market', 'environmental protection', 'climate change policy', 'sustainable development', 'economic instrument for the environment', 'EU environmental policy', 'economic activity', 'green economy']",'12/07/2020','31/12/2020','18/06/2020'
8,NFRD,32014L0095,2014/95,Directive 2014/95/EU of the European Parliament and of the Council of 22 October 2014 amending Directive 2013/34/EU as regards disclosure of non-financial and diversity information by certain large undertakings and groups  Text with EEA relevance,22/10/2014,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32014L0095&lang=en&type=quick&qid=1691483928300,"['business management', 'large business', 'activity report', 'impact study', 'sustainable development', 'corporate social responsibility']",'05/12/2014','06/12/2018','Not found'
9,CSRD,32022L2464,2022/2464,"Directive (EU) 2022/2464 of the European Parliament and of the Council of 14 December 2022 amending Regulation (EU) No 537/2014, Directive 2004/109/EC, Directive 2006/43/EC and Directive 2013/34/EU, as regards corporate sustainability reporting (Text with EEA relevance)",14/12/2022,Directive,L,"European Parliament, Council of the European Union","BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV",https://eur-lex.europa.eu/search.html?scope=EURLEX&text=32022L2464&lang=en&type=quick&qid=1691483958228,"['large business', 'trade information', 'standard', 'small and medium-sized enterprises', 'activity report', 'environmental impact', 'disclosure of information', 'corporate social responsibility', 'environmental auditing']",'05/01/2023','31/12/2028','14/12/2022'
